,pop_mean,pop_sem,eps_mean,eps_sem,het_mean,het_sem,p_het_1,p_het_0,p_pop0,s_wt_mean,s_wt_sem,s_mt_mean,s_mt_sem,a_wt_mean,a_wt_sem,a_mt_mean,a_mt_sem
100,1013.01,6.31,399.81,0.15,0.6587,0.0051,0.1826,0.1416,0.0,97.62,1.05,409.37,4.21,97.8,1.06,408.22,4.2
101,1016.92,6.33,400.04,0.15,0.6598,0.0051,0.1854,0.1424,0.0,97.02,1.06,411.51,4.22,97.39,1.06,411.01,4.22
102,1019.93,6.35,399.95,0.15,0.661,0.0051,0.189,0.1436,0.0,96.49,1.06,414.07,4.24,96.8,1.06,412.58,4.23
103,1023.11,6.37,400.1,0.15,0.6618,0.0051,0.1936,0.1444,0.0,96.01,1.06,415.65,4.25,96.42,1.07,415.03,4.25
104,1025.07,6.39,399.83,0.16,0.6626,0.0052,0.198,0.1452,0.0,95.74,1.07,417.3,4.26,95.67,1.07,416.36,4.25
105,1027.95,6.39,399.98,0.15,0.6639,0.0052,0.2014,0.1462,0.0,95.22,1.07,419.04,4.27,95.44,1.07,418.25,4.26
106,1030.82,6.41,400.0,0.15,0.6651,0.0052,0.2058,0.1478,0.0,94.71,1.07,421.16,4.28,95.02,1.08,419.92,4.27
107,1033.86,6.43,400.07,0.15,0.666,0.0052,0.21,0.1494,0.0,94.3,1.07,422.54,4.29,94.51,1.08,422.51,4.29
108,1038.16,6.45,400.14,0.15,0.668,0.0052,0.212,0.1506,0.0,93.48,1.07,425.65,4.3,93.98,1.08,425.04,4.31
109,1040.34,6.48,400.1,0.15,0.6683,0.0052,0.2162,0.1512,0.0,93.2,1.08,426.84,4.32,93.48,1.09,426.82,4.32
110,1041.66,6.49,399.87,0.15,0.6687,0.0052,0.2202,0.1528,0.0,92.96,1.08,428.16,4.33,92.97,1.09,427.56,4.33
111,1043.97,6.52,399.89,0.15,0.6693,0.0052,0.2228,0.1542,0.0,92.57,1.08,429.53,4.34,92.63,1.09,429.24,4.34
112,1046.99,6.53,399.99,0.15,0.6704,0.0052,0.2272,0.1554,0.0,92.08,1.09,431.49,4.35,92.25,1.09,431.18,4.35
113,1048.85,6.53,399.96,0.15,0.6714,0.0052,0.2324,0.1568,0.0,91.71,1.09,433.05,4.36,91.96,1.1,432.14,4.35
114,1051.03,6.55,400.1,0.15,0.6719,0.0053,0.2368,0.1586,0.0,91.36,1.09,434.29,4.37,91.77,1.1,433.61,4.37
115,1053.59,6.58,400.19,0.15,0.6725,0.0053,0.2412,0.1594,0.0,91.05,1.1,435.69,4.38,91.34,1.11,435.51,4.39
116,1055.94,6.59,400.31,0.15,0.6729,0.0053,0.247,0.1604,0.0,90.66,1.1,437.19,4.39,91.1,1.11,436.98,4.4
117,1057.07,6.61,399.87,0.15,0.6733,0.0053,0.251,0.1614,0.0,90.31,1.1,438.65,4.41,90.49,1.1,437.61,4.41
118,1059.17,6.62,400.04,0.15,0.6738,0.0053,0.256,0.1626,0.0,90.04,1.1,439.74,4.41,90.29,1.11,439.1,4.41
119,1061.83,6.64,400.03,0.15,0.6749,0.0053,0.2608,0.1638,0.0,89.64,1.11,441.42,4.42,89.79,1.11,440.98,4.43
120,1064.55,6.65,399.99,0.15,0.6761,0.0053,0.2638,0.1656,0.0,89.2,1.11,443.1,4.43,89.27,1.11,442.99,4.44
121,1066.82,6.66,400.04,0.15,0.6772,0.0053,0.2678,0.1664,0.0,88.73,1.11,444.95,4.44,89.05,1.12,444.09,4.44
122,1068.69,6.67,399.99,0.15,0.6777,0.0053,0.272,0.1672,0.0,88.45,1.11,446.03,4.45,88.64,1.12,445.56,4.45
123,1069.37,6.67,399.66,0.15,0.6782,0.0053,0.2764,0.1676,0.0,88.26,1.11,446.85,4.45,88.17,1.12,446.09,4.45
124,1072.05,6.68,400.13,0.15,0.6786,0.0054,0.2812,0.1684,0.0,87.98,1.12,448.11,4.46,88.17,1.12,447.79,4.46
125,1073.39,6.7,399.79,0.15,0.6791,0.0054,0.2862,0.1692,0.0,87.57,1.12,449.44,4.47,87.69,1.12,448.69,4.46
126,1075.37,6.72,399.85,0.15,0.6796,0.0054,0.2906,0.1706,0.0,87.37,1.12,450.5,4.48,87.31,1.12,450.2,4.48
127,1078.12,6.73,399.96,0.15,0.6805,0.0054,0.2956,0.1722,0.0,86.87,1.12,452.38,4.48,87.04,1.13,451.82,4.49
128,1079.91,6.74,399.88,0.15,0.6811,0.0054,0.2996,0.173,0.0,86.49,1.12,453.7,4.49,86.72,1.13,453.01,4.49
129,1082.37,6.75,399.98,0.15,0.6818,0.0054,0.3016,0.1738,0.0,86.18,1.13,455.16,4.5,86.33,1.13,454.71,4.5
130,1084.87,6.77,400.08,0.15,0.6825,0.0054,0.3052,0.1746,0.0,85.72,1.13,456.76,4.51,86.09,1.14,456.31,4.52
131,1086.63,6.77,399.95,0.15,0.6832,0.0054,0.308,0.1762,0.0,85.43,1.13,457.97,4.52,85.63,1.14,457.61,4.52
132,1088.41,6.79,400.05,0.15,0.6833,0.0054,0.3116,0.177,0.0,85.28,1.13,458.75,4.52,85.32,1.14,459.06,4.53
133,1088.91,6.8,399.87,0.15,0.6833,0.0054,0.3156,0.1778,0.0,85.0,1.13,459.81,4.53,85.19,1.14,458.9,4.53
134,1090.55,6.81,399.75,0.15,0.6837,0.0054,0.3174,0.1782,0.0,84.73,1.14,460.93,4.54,84.75,1.14,460.13,4.54
135,1093.95,6.82,400.18,0.15,0.6847,0.0055,0.3202,0.179,0.0,84.3,1.14,462.79,4.55,84.62,1.14,462.23,4.55
136,1095.56,6.82,400.2,0.15,0.6855,0.0055,0.3236,0.18,0.0,84.06,1.14,463.86,4.55,84.35,1.14,463.3,4.55
137,1096.79,6.84,399.88,0.15,0.6861,0.0055,0.3254,0.1812,0.0,83.81,1.14,464.4,4.55,83.76,1.14,464.81,4.56
138,1097.92,6.85,399.87,0.15,0.6863,0.0055,0.33,0.1814,0.0,83.56,1.14,465.58,4.56,83.63,1.15,465.14,4.57
139,1100.28,6.86,399.86,0.15,0.6871,0.0055,0.3328,0.1826,0.0,83.17,1.14,467.11,4.57,83.22,1.15,466.78,4.58
140,1101.84,6.86,399.9,0.15,0.6877,0.0055,0.3372,0.1834,0.0,82.89,1.14,468.42,4.58,83.04,1.15,467.5,4.58
141,1104.69,6.87,400.08,0.15,0.6884,0.0055,0.3406,0.1842,0.0,82.56,1.14,469.36,4.58,82.65,1.15,470.12,4.59
142,1106.42,6.89,400.08,0.15,0.6889,0.0055,0.3444,0.1854,0.0,82.38,1.15,470.73,4.59,82.26,1.15,471.05,4.6
143,1108.03,6.88,399.85,0.15,0.69,0.0055,0.3476,0.1862,0.0,81.8,1.15,472.71,4.59,82.0,1.15,471.53,4.59
144,1110.2,6.91,400.07,0.15,0.69,0.0055,0.3526,0.1878,0.0,81.7,1.15,473.22,4.6,81.66,1.15,473.61,4.61
145,1111.35,6.92,399.87,0.14,0.6904,0.0055,0.3568,0.1886,0.0,81.39,1.15,474.44,4.61,81.32,1.15,474.2,4.62
146,1113.59,6.92,399.92,0.15,0.6913,0.0055,0.3616,0.1888,0.0,80.95,1.15,476.0,4.61,81.08,1.16,475.56,4.62
147,1114.74,6.93,399.67,0.14,0.6919,0.0055,0.3652,0.1898,0.0,80.7,1.16,477.16,4.62,80.61,1.15,476.27,4.62
148,1117.34,6.95,400.04,0.14,0.6924,0.0055,0.3686,0.1902,0.0,80.38,1.16,478.26,4.63,80.55,1.16,478.14,4.64
149,1119.02,6.96,399.74,0.15,0.6932,0.0056,0.3718,0.1908,0.0,80.01,1.16,479.8,4.63,79.96,1.16,479.25,4.64
150,1121.23,6.96,400.08,0.14,0.6937,0.0056,0.375,0.1912,0.0,79.7,1.16,481.21,4.64,80.0,1.17,480.33,4.64
151,1123.3,6.96,400.08,0.15,0.6947,0.0056,0.3802,0.1918,0.0,79.4,1.16,482.36,4.64,79.61,1.17,481.92,4.65
152,1125.18,6.97,399.92,0.14,0.6953,0.0056,0.3818,0.1928,0.0,79.05,1.16,483.64,4.65,79.11,1.17,483.38,4.65
153,1125.49,6.98,399.82,0.15,0.6953,0.0056,0.3866,0.1938,0.0,78.95,1.16,484.29,4.65,78.98,1.17,483.28,4.65
154,1127.23,6.99,399.64,0.14,0.696,0.0056,0.3896,0.1946,0.0,78.65,1.16,485.36,4.66,78.46,1.17,484.77,4.66
155,1129.26,7.0,399.9,0.14,0.6961,0.0056,0.3922,0.1956,0.0,78.4,1.17,486.56,4.66,78.38,1.17,485.93,4.67
156,1130.34,7.0,399.94,0.14,0.6964,0.0056,0.3964,0.1956,0.0,78.17,1.17,487.09,4.67,78.31,1.17,486.78,4.67
157,1132.08,7.01,399.91,0.14,0.6972,0.0056,0.3986,0.1958,0.0,77.84,1.17,488.39,4.67,78.0,1.17,487.85,4.68
158,1134.1,7.02,399.88,0.14,0.6978,0.0056,0.4014,0.1966,0.0,77.55,1.17,489.44,4.67,77.59,1.17,489.53,4.69
159,1136.14,7.03,399.95,0.14,0.6983,0.0056,0.4052,0.1972,0.0,77.23,1.17,490.93,4.68,77.32,1.17,490.65,4.69
160,1137.74,7.03,399.87,0.14,0.6992,0.0056,0.4084,0.1976,0.0,76.92,1.17,492.04,4.68,76.99,1.18,491.79,4.69
161,1139.28,7.02,400.02,0.14,0.6996,0.0056,0.4124,0.1994,0.0,76.71,1.17,493.17,4.69,76.89,1.18,492.52,4.69
162,1141.27,7.04,400.01,0.15,0.7004,0.0056,0.4158,0.2,0.0,76.41,1.17,494.33,4.69,76.52,1.18,494.01,4.7
163,1143.18,7.04,399.98,0.14,0.7012,0.0056,0.4178,0.201,0.0,76.11,1.17,495.64,4.69,76.13,1.18,495.3,4.69
164,1144.2,7.05,399.95,0.14,0.7012,0.0056,0.4212,0.2012,0.0,75.92,1.18,496.41,4.7,75.94,1.18,495.93,4.7
165,1145.44,7.05,399.89,0.14,0.7015,0.0057,0.4248,0.2018,0.0,75.55,1.17,497.32,4.7,75.81,1.18,496.76,4.71
166,1146.89,7.07,399.77,0.14,0.702,0.0057,0.4288,0.2028,0.0,75.37,1.18,498.25,4.7,75.36,1.18,497.91,4.71
167,1148.95,7.07,399.82,0.14,0.7029,0.0057,0.4322,0.2032,0.0,75.04,1.18,499.56,4.71,75.07,1.18,499.28,4.71
168,1150.7,7.07,399.88,0.14,0.7036,0.0057,0.4346,0.2038,0.0,74.8,1.18,500.75,4.71,74.8,1.18,500.35,4.72
169,1152.58,7.08,400.04,0.15,0.7039,0.0057,0.4374,0.2048,0.0,74.52,1.18,501.97,4.72,74.68,1.18,501.42,4.72
170,1154.71,7.08,399.98,0.14,0.7046,0.0057,0.44,0.205,0.0,74.14,1.18,503.22,4.72,74.26,1.18,503.09,4.72
171,1155.64,7.09,399.97,0.14,0.7049,0.0057,0.4436,0.206,0.0,73.97,1.18,504.11,4.72,74.11,1.18,503.46,4.72
172,1157.23,7.1,400.0,0.14,0.7054,0.0057,0.4462,0.2068,0.0,73.71,1.18,504.77,4.72,73.88,1.19,504.87,4.74
173,1158.08,7.09,399.99,0.14,0.7059,0.0057,0.448,0.2068,0.0,73.52,1.18,505.9,4.73,73.77,1.19,504.88,4.73
174,1159.0,7.1,399.58,0.14,0.7063,0.0057,0.4504,0.207,0.0,73.33,1.18,506.57,4.73,73.11,1.18,505.99,4.74
175,1160.18,7.11,399.73,0.14,0.7063,0.0057,0.4534,0.2076,0.0,73.22,1.19,507.11,4.74,73.03,1.18,506.82,4.74
176,1161.89,7.12,400.03,0.14,0.7066,0.0057,0.4564,0.208,0.0,72.94,1.19,508.21,4.74,73.14,1.19,507.6,4.75
177,1163.77,7.12,400.18,0.14,0.7071,0.0057,0.4608,0.208,0.0,72.76,1.19,509.17,4.75,72.89,1.19,508.95,4.75
178,1164.2,7.14,399.86,0.14,0.7071,0.0057,0.4628,0.208,0.0,72.65,1.19,509.35,4.75,72.43,1.19,509.78,4.76
179,1165.5,7.13,399.9,0.14,0.7077,0.0057,0.4662,0.2088,0.0,72.28,1.19,510.72,4.75,72.42,1.19,510.08,4.76
180,1167.8,7.13,400.11,0.14,0.7085,0.0057,0.4686,0.2088,0.0,71.92,1.19,512.08,4.75,72.3,1.2,511.5,4.76
181,1169.12,7.15,399.8,0.14,0.7091,0.0057,0.472,0.209,0.0,71.7,1.19,513.03,4.76,71.66,1.19,512.73,4.77
182,1169.74,7.14,399.75,0.14,0.7094,0.0057,0.4752,0.21,0.0,71.56,1.19,513.66,4.76,71.52,1.19,513.0,4.76
183,1170.7,7.15,399.78,0.14,0.7096,0.0057,0.4782,0.2104,0.0,71.44,1.19,514.11,4.76,71.37,1.19,513.78,4.77
184,1172.63,7.15,399.84,0.14,0.7102,0.0057,0.4806,0.2106,0.0,71.11,1.19,515.52,4.77,71.14,1.19,514.86,4.77
185,1173.92,7.15,400.04,0.14,0.7105,0.0057,0.4836,0.2114,0.0,70.99,1.19,516.04,4.77,71.09,1.2,515.8,4.77
186,1175.0,7.16,400.0,0.14,0.7108,0.0058,0.486,0.212,0.0,70.72,1.19,517.0,4.77,70.95,1.2,516.33,4.78
187,1176.39,7.17,400.16,0.14,0.711,0.0058,0.4884,0.2122,0.0,70.64,1.19,517.25,4.77,70.78,1.2,517.71,4.79
188,1177.43,7.18,399.97,0.14,0.7113,0.0058,0.4902,0.2126,0.0,70.44,1.19,518.06,4.78,70.38,1.2,518.56,4.79
189,1177.87,7.18,399.84,0.14,0.7114,0.0058,0.4922,0.2128,0.0,70.29,1.2,518.43,4.78,70.21,1.2,518.94,4.79
190,1178.39,7.18,399.63,0.14,0.712,0.0058,0.495,0.2134,0.0,70.06,1.2,519.47,4.78,69.98,1.2,518.88,4.79
191,1180.8,7.19,400.26,0.14,0.7121,0.0058,0.4964,0.214,0.0,69.95,1.2,520.26,4.79,70.13,1.2,520.47,4.8
192,1181.62,7.19,400.0,0.14,0.7127,0.0058,0.4976,0.2148,0.0,69.71,1.2,521.08,4.79,69.74,1.2,521.08,4.79
193,1183.11,7.19,400.13,0.14,0.7132,0.0058,0.5004,0.2148,0.0,69.51,1.2,522.0,4.79,69.62,1.2,521.98,4.8
194,1184.21,7.19,399.98,0.14,0.7139,0.0058,0.5032,0.215,0.0,69.27,1.2,522.92,4.79,69.29,1.2,522.72,4.8
195,1185.57,7.19,399.93,0.14,0.7142,0.0058,0.505,0.2152,0.0,68.99,1.2,523.81,4.79,69.06,1.2,523.7,4.8
196,1185.57,7.19,399.73,0.14,0.7145,0.0058,0.5074,0.2152,0.0,68.92,1.2,523.84,4.79,68.86,1.2,523.94,4.8
197,1187.91,7.2,400.11,0.14,0.7148,0.0058,0.5094,0.2154,0.0,68.73,1.2,525.11,4.8,68.78,1.2,525.29,4.81
198,1189.24,7.2,400.14,0.14,0.7153,0.0058,0.5118,0.216,0.0,68.48,1.2,526.14,4.8,68.63,1.21,525.99,4.81
199,1190.2,7.21,400.09,0.14,0.7153,0.0058,0.5152,0.217,0.0,68.34,1.2,526.67,4.8,68.38,1.2,526.8,4.81
200,1190.41,7.22,399.85,0.14,0.7153,0.0058,0.518,0.2174,0.0,68.23,1.2,526.99,4.81,68.1,1.2,527.09,4.82
201,1192.35,7.22,400.12,0.14,0.716,0.0058,0.5208,0.2178,0.0,67.85,1.2,528.24,4.81,68.19,1.21,528.07,4.82
202,1193.31,7.22,400.23,0.13,0.7161,0.0058,0.5222,0.2184,0.0,67.82,1.2,528.72,4.81,68.05,1.21,528.72,4.82
203,1193.65,7.22,399.87,0.14,0.7165,0.0058,0.5236,0.2186,0.0,67.55,1.2,529.44,4.81,67.72,1.21,528.95,4.82
204,1194.88,7.23,399.83,0.14,0.7167,0.0058,0.5266,0.219,0.0,67.47,1.2,530.24,4.82,67.34,1.21,529.83,4.82
205,1195.52,7.23,399.78,0.14,0.7168,0.0058,0.5284,0.2194,0.0,67.32,1.21,530.87,4.82,67.21,1.21,530.12,4.82
206,1196.7,7.25,400.06,0.14,0.7166,0.0058,0.5304,0.2198,0.0,67.25,1.21,530.8,4.82,67.26,1.21,531.39,4.84
207,1197.88,7.25,400.13,0.14,0.7167,0.0058,0.533,0.22,0.0,67.05,1.21,531.73,4.83,67.17,1.21,531.92,4.84
208,1198.37,7.26,399.89,0.14,0.7167,0.0059,0.5348,0.2208,0.0,66.93,1.21,532.25,4.83,66.8,1.21,532.4,4.84
